"Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","GDP_wb","clasificacion.gdp15","category"
"Angola",2015,"Developing",52.4,335,66,NA,0,64,118,23.3,98,7,NA,64,1.9,3695.793748,2785935,8.3,8.2,0.531,11.4,4166.979833,"upper middle","min"
"Angola",2014,"Developing",51.7,348,67,8.33,23.965612,64,11699,22.7,101,68,3.31,64,2,479.31224,2692466,8.5,8.3,0.527,11.4,5408.4117,"upper middle","min"
"Angola",2013,"Developing",51.1,355,69,8.1,35.95857279,77,8523,22.1,105,67,4.26,77,2.3,484.616884,2599834,8.6,8.5,0.523,11.4,5254.881126,"upper middle","min"
"Angola",2012,"Developing",56,358,72,8.24,256.1225243,75,4458,21.5,110,75,3.3,75,2.6,4598.249988,259615,8.8,8.6,0.508,10.3,5100.097027,"upper middle","min"
"Angola",2011,"Developing",51,361,75,8.06,239.8913921,72,1449,21,115,73,3.38,71,2.5,4299.12889,24218565,8.9,8.8,0.495,9.4,4615.468219,"upper middle","min"
"Angola",2010,"Developing",49.6,365,78,7.8,191.6537407,77,1190,2.4,121,81,3.39,77,2.5,3529.53482,23369131,9.1,9,0.488,9,3587.883645,"upper middle","min"
"Angola",2009,"Developing",49.1,369,81,7.01,212.9229325,61,2807,19.8,127,63,4.37,6,2.5,3347.84485,22549547,9.3,9.2,0.48,8.5,3122.781599,"upper middle","min"
"Angola",2008,"Developing",48.7,371,84,7.07,249.9101958,69,265,19.3,133,65,3.84,69,2.6,3868.578883,2175942,9.5,9.4,0.468,8.1,4080.941034,"upper middle","min"
"Angola",2007,"Developing",48.2,375,87,6.35,184.8213446,73,1014,18.8,138,75,3.38,73,2.6,2878.837144,2997687,9.6,9.6,0.454,7.7,3121.996085,"upper middle","min"
"Angola",2006,"Developing",47.7,381,90,5.84,25.08688824,NA,765,18.2,143,36,4.54,34,2.5,262.415149,2262399,9.8,9.7,0.439,7.2,2599.565948,"upper middle","min"
"Angola",2005,"Developing",47.4,382,92,5.04,98.19145117,NA,258,17.7,148,39,4.1,38,2.6,1443.991929,19552542,1,9.9,0.426,6.8,1902.42215,"upper middle","min"
"Angola",2004,"Developing",47.1,386,94,3.53,8.8667775,NA,29,17.2,152,4,4.71,4,2.5,141.86844,18865716,1.2,1.1,0.415,6.4,1255.564513,"upper middle","min"
"Angola",2003,"Developing",46.8,388,95,3.49,35.93349121,NA,1196,16.8,155,4,4.41,4,2.4,779.468356,1823369,1.4,1.3,0.406,5.9,982.9610078,"upper middle","min"
"Angola",2002,"Developing",46.5,391,96,2.82,24.037942,NA,11945,16.3,157,37,3.63,41,2.3,711.181716,17572649,1.5,1.5,0.401,5.5,872.4944418,"upper middle","min"
"Angola",2001,"Developing",45.7,44,97,2.58,30.35993647,NA,9046,15.8,159,41,5.38,38,2.1,526.168743,16983266,1.7,1.7,0.391,5.1,527.3335285,"upper middle","min"
"Angola",2000,"Developing",45.3,48,97,1.85,15.88149254,NA,2219,15.4,160,3,2.79,28,2,555.2969419,1644924,1.9,1.9,0.382,4.6,556.8386317,"upper middle","min"
